ra,dec
331.6159006,65.6690263
280.4610143,4.1228457
279.8106410,8.2364625
60.0475698,24.5193529
332.1765719,54.0047808
66.3729058,57.9892504
62.7346093,51.4099668
277.6524175,32.7422629
264.4811523,49.2844697
48.4328860,53.3641562
47.0542248,58.4482966
352.0025888,72.5798465
328.0837875,66.0595589
62.8535781,52.6557831
357.5242710,34.9841597
90.5645139,22.5898458
62.8535711,52.6557772
43.2007342,54.0833482
358.3144280,71.7545979
62.7345962,51.4099806
346.0467255,72.3068557
53.6581746,40.3223986
204.0449206,21.2505668
336.1631891,26.4903255
62.8535711,52.6557772
221.0865303,79.1017197
62.6871219,53.7897909
99.1764436,19.3991291
112.1339301,64.4764682
305.1837282,-11.2077404
280.0155035,5.5733919
338.7604529,19.7140524
352.0025761,72.5798482
84.6790249,17.9655765
221.0864947,79.1017126
50.7811916,41.3338506
52.6668513,51.4949010
221.0864781,79.1017142
245.1669272,34.6725708
341.7404697,34.0986223
352.0025761,72.5798482
279.6939420,6.3694342
344.8695027,67.1292570
357.1752487,25.8669326
93.3476393,17.3625649
48.9322063,58.3182226
46.8380048,51.5397074
348.4131630,70.0424494
65.7893119,57.2788235
276.2091661,36.1177232
356.3784250,70.3366867
87.1817146,16.2349187
73.0407961,29.7730214
135.4257372,51.4345381
55.9336876,57.4817389
50.7463725,53.2264543
43.9152730,52.2608457
3.5664331,23.4412240
193.5073574,52.0299594
341.1208527,66.9341157
357.9393822,19.9001157
357.9393822,19.9001157
116.7986613,51.4231961
54.7114223,53.1963896
289.8066806,3.3866264
51.4728133,56.6539761
50.2767848,51.8538100
41.8323239,43.8764174
291.4009529,2.9808086
277.5722560,7.1127480
244.2888639,29.7338859
338.3684697,66.6975257
356.3784250,70.3366867
84.8920086,18.3129271
359.4662145,68.6931398
28.5254277,2.2182990
51.1085640,54.7899448
139.0509533,36.2592709
88.6376822,18.6164696
54.2671843,57.1041500
264.5753701,31.1820073
130.1832194,46.9018169
43.2007337,54.0833471
44.3718580,55.5198351
343.1475122,67.7370940
45.7754876,53.4686601
264.5753685,31.1820057
270.1576670,57.7562546
359.4662258,68.6931339
62.9860640,52.0897211
258.8435011,26.7636712
65.7893119,57.2788235
336.5714894,15.3737673
33.1430101,31.8989796
327.7336040,74.7535426
127.8908083,38.2035978
61.5189482,57.3916384
247.3829718,47.2419435
49.8387274,58.2936521
280.2864208,8.2291300
