ra,dec
89.393333,19.819917
285.153000,1.375250
97.810583,11.850361
249.622380,-12.124830
288.373125,-0.083167
288.095958,13.376778
315.056430,47.258260
287.544583,11.530111
102.777850,-11.337440
100.394042,7.944333
304.202610,38.343270
312.550090,45.698880
287.546667,11.693028
316.511590,49.109140
333.447417,55.410722
316.070112,49.744402
290.221000,16.288639
295.462958,22.403611
261.992625,-27.897750
67.337710,43.987390
316.944149,46.736978
104.346750,-4.236000
72.853417,38.188556
289.971458,17.240472
6.407204,64.229891
24.749958,64.989278
336.192550,59.508240
102.693750,-8.969083
283.991417,12.003778
281.332292,-4.833806
109.920708,-23.536889
282.748850,-0.577240
99.672340,-3.824350
277.471980,-1.110430
73.825500,39.979750
274.028583,-24.882361
295.146333,19.285556
288.696417,12.629250
283.830125,-0.385306
321.964458,24.422528
290.478000,19.448028
90.791060,20.081360
104.895440,-8.377100
111.622625,-27.925028
304.729020,37.948000
105.979458,-17.879917
268.118375,-26.703472
314.178860,40.258490
280.340667,-1.111222
342.096167,60.404722
285.262708,-7.381806
312.273125,58.899250
283.489708,9.723417
287.655125,16.643028
288.533250,15.052028
288.353667,14.297306
358.602292,62.149500
109.247208,-15.307056
273.332167,-16.555389
274.884958,9.293750
281.159042,-4.416056
327.398000,52.395226
293.776083,23.160278
291.941667,15.472639
356.181542,61.282778
286.441667,12.591361
300.193141,30.907590
113.548480,-21.665440
283.684792,-0.061722
294.127120,20.041390
89.857042,12.994861
299.132610,28.849750
293.936500,18.945167
339.143760,57.901710
284.949875,2.506167
292.984520,18.553440
73.935870,36.343730
293.623583,21.729111
272.877500,-15.925972
47.297940,56.034700
59.909042,52.790694
271.333667,-26.981667
95.560500,17.839056
328.185680,55.872260
19.005018,61.620705
340.043250,60.563806
110.438125,-26.533417
328.421980,54.350790
335.285740,58.920920
71.395167,43.572833
323.878750,55.636590
86.711708,31.597917
286.342042,7.135222
293.335500,20.284861
326.054560,57.053700
111.828708,-25.785361
82.358870,27.000890
22.504750,62.284139
5.990042,62.950083
330.621750,57.143980
