ra,dec
0.3769,5.1065
6.2508,7.5637
8.8988,46.3978
9.1678,23.1420
12.9703,20.6715
13.0750,53.8639
17.9900,35.2901
18.2780,21.8806
18.8842,37.6265
19.0575,9.3711
21.4140,32.3856
24.1543,32.0111
25.7695,26.6426
27.7147,33.4394
31.2516,46.0939
33.8751,57.2983
34.3080,40.6916
36.2520,32.9988
38.3442,0.8498
40.5673,35.6798
40.7225,38.0676
41.5099,34.9189
44.1653,37.1398
48.9035,42.4706
53.7078,-7.1800
56.3143,-1.8712
57.9875,25.4244
60.6628,42.8460
63.1525,69.4853
80.9657,1.0085
82.1364,28.6434
96.0110,27.0695
99.2275,0.0381
99.6840,18.2698
101.3384,19.0798
109.8005,48.9763
113.0338,41.5024
116.3829,45.6414
118.5603,31.5377
119.7209,16.2792
120.7662,25.2741
124.0452,45.5028
125.0809,47.7919
129.1778,53.4773
135.2665,48.1530
138.0676,50.8983
139.8986,50.4736
143.2065,47.4230
146.4625,-19.7339
146.6436,13.8494
146.6523,44.7791
146.9993,6.1789
153.9159,73.4347
155.8345,44.0859
156.0113,48.1475
160.8545,56.5494
163.0636,-6.7240
165.0613,13.2644
169.4987,76.8584
170.0140,66.6090
190.2418,-1.9887
191.1094,61.5873
194.1547,26.6119
205.8464,15.1547
232.2411,3.8199
246.3345,12.0524
247.1287,24.0498
250.7021,13.7976
256.5403,14.5810
272.1494,10.1749
272.8536,-14.9263
273.5593,30.7269
283.1725,26.7587
284.0340,45.6277
284.6337,51.8159
287.5584,29.1038
287.7475,28.9441
291.5451,-10.2585
293.4735,14.2960
295.0673,46.5466
297.8796,10.9560
303.5753,51.7233
304.2082,53.2068
306.3454,15.7659
307.7899,16.3856
309.2311,14.0526
316.0195,46.5204
324.0176,40.4387
334.1298,29.0055
339.9928,23.3102
350.7852,18.4163
351.7589,50.1202
355.0861,76.7029
