ra,dec
259.5077971,22.7978128
199.9094249,30.2537920
324.9362403,30.9631362
344.5892806,57.7502253
162.6246322,48.5378541
239.7588877,50.1086865
123.8749970,51.0099597
232.4700302,39.7552658
262.3953520,32.9135374
161.3819019,51.3224327
247.0497969,45.4890079
258.1138195,56.5358320
356.1793368,34.4709400
274.5708838,37.4352473
265.9794208,19.4747009
297.8749471,16.8126363
317.9770668,35.3816114
264.8067226,72.5469168
287.9068433,36.7151829
270.9687620,32.5849466
253.8756327,32.5154300
275.9221582,57.1158619
108.2861903,49.3045317
21.3572840,20.3905771
345.1859164,52.0390753
259.2134400,41.3972330
291.5637163,49.8696547
350.6819113,39.8138658
270.5611205,39.4368267
21.2540085,22.2392727
258.4926357,50.1949283
261.9909593,37.9477985
299.3894060,1.3556166
257.2763658,44.4019980
288.9851000,67.4407505
287.5975361,36.5722207
291.6337097,58.6795263
293.0627178,51.3528790
347.4733021,36.4516654
320.8856116,28.7169766
260.9750668,31.5773395
183.6959073,20.1371948
115.4077331,49.2855688
323.2444573,21.0154658
229.0815275,36.9477715
258.4926403,50.1949207
276.2433974,22.1878005
276.2433974,22.1878005
54.9738802,27.3553399
194.8375098,35.1109423
261.9022122,42.3173864
255.6604586,31.0699565
32.7983914,38.4306793
225.9890055,61.1539188
191.7959840,76.5733203
265.4858838,17.6756550
304.2615621,3.1625967
278.9006027,39.8438250
258.4371811,48.5495397
322.8951012,36.7134883
251.8401155,55.1582154
291.5191582,38.2211645
355.7166718,20.6634751
302.0097785,61.9453702
268.0327545,22.5165993
259.4987395,48.9119167
294.3065998,50.9714941
171.1243134,51.2387672
277.6295085,49.0888462
288.2807930,44.2915160
188.8231781,48.4566147
187.0887981,22.6211147
29.8580127,30.7279789
277.4264711,43.8805543
232.2099799,72.2697554
266.1012632,33.0460617
268.6530401,20.2985750
270.9049079,3.4509714
262.9259127,22.5116451
291.6337097,58.6795263
196.6038680,39.2489521
292.2897158,46.9678978
114.0915820,72.9881336
279.6498303,8.1448136
278.3445310,60.7879999
281.0341998,31.6429542
135.3254805,52.1406795
267.8371414,59.2729222
280.6542305,58.0807309
29.8580134,30.7279848
258.7869106,54.2137914
268.4412749,37.3539119
287.7374989,70.4696060
283.1643503,36.6264928
266.9678055,22.3637903
244.2122047,44.8344551
252.0709129,68.3119087
14.9594841,-11.4552942
277.6254932,7.7737056
43.1488440,0.2955448
