ra,dec
274.146463,-11.304450
299.123212,22.256431
299.937024,36.814352
287.900210,12.052041
272.476947,8.065136
290.223264,22.898495
297.565665,36.039720
299.394481,12.683093
287.814253,1.040708
291.524111,21.124597
312.714137,33.676498
62.164659,52.399149
295.240507,38.108905
285.846845,-6.103430
294.619528,34.983123
298.554180,17.973026
325.951714,46.814714
297.496568,27.683638
331.906743,52.762615
283.987243,-2.104873
293.916020,23.191226
289.935838,24.505788
294.872445,27.314646
335.163847,48.169566
72.920711,54.668397
332.418060,50.449305
94.665614,21.043275
293.648889,14.307628
44.026125,63.856213
300.008086,36.311764
271.770552,3.299863
285.124653,13.537304
330.564459,49.332061
317.917853,46.636967
295.925777,29.422887
296.875210,48.483398
290.851681,23.131892
276.961671,-6.238794
294.877270,18.282953
285.000444,16.456491
95.387552,18.200595
293.389604,16.613031
287.477976,-2.279015
294.638968,13.291402
286.630881,2.389807
296.002730,47.411598
23.999596,57.215157
287.920100,-1.730727
297.095942,16.051791
311.409500,36.020147
286.776135,0.599607
286.388330,-3.110564
294.287901,23.528234
286.447203,36.109189
277.089832,-8.190509
297.750232,17.243874
303.543340,17.510479
295.265102,16.537755
297.349782,19.324243
296.611745,32.744883
275.093695,17.921072
296.944836,30.618820
299.908811,40.651812
23.023140,52.201994
292.834122,20.521963
293.550161,47.587135
285.120962,-2.202684
294.633675,24.850993
19.831804,60.073749
289.843487,14.753683
294.849534,25.563400
293.757945,14.457332
316.743447,56.059025
283.909221,40.982551
301.455248,35.386098
283.304396,10.992555
273.264710,-5.679077
300.852949,22.434963
296.056701,40.678053
285.387382,-6.251603
262.801902,3.530161
290.121515,24.825112
290.895606,23.868921
306.978154,14.255226
286.724912,19.212971
275.422753,-14.404162
295.240086,30.741167
283.024534,-13.033560
337.108420,49.349435
310.263868,30.108541
285.343810,11.409299
13.572527,8.874651
321.378594,44.533548
293.192381,-7.433488
295.486916,37.054133
292.021086,0.698696
292.817703,19.223730
294.725792,15.377641
295.466481,31.984389
293.945801,28.674912
