ra,dec
282.6451508,34.8916706
288.5243027,1.5119108
337.6768637,25.8415520
213.3955841,35.4684560
287.5603396,2.2775622
333.8653720,69.8976930
214.9114097,64.1106691
95.9159785,18.8103403
50.3115195,58.0661717
266.1379051,50.3906736
268.2951335,36.7952201
196.5139210,55.1686489
308.9435413,-5.0509575
343.7440710,67.6310683
174.5820562,26.3452487
267.9677128,48.4322783
278.9998832,34.3439561
132.4635729,65.4968393
283.7618651,44.3719519
260.6726525,23.1624908
315.6734862,5.7929599
259.4463383,42.2357124
47.7630233,44.0191448
56.5560011,38.1562457
44.3049163,53.1814621
266.9151778,30.1469623
323.4996256,10.1655480
354.3506624,21.5433502
255.3363552,29.5017171
353.7017184,70.3775856
84.4986938,22.2200980
258.2842721,61.0971109
326.9854090,44.1398676
65.2295815,58.3466181
274.4481042,37.0207075
254.9369323,32.4576750
342.2403893,26.6229554
342.1651026,17.9278626
350.7822158,68.6318484
273.7137432,54.3834590
291.1724054,7.7134417
291.2696352,66.1601733
266.4332614,32.1762065
339.4017960,65.8620117
215.4946012,34.4568228
339.2050150,18.5125406
116.1087495,41.7185894
22.3065280,39.9759715
260.2727542,63.5885585
172.8624629,27.6769183
327.4808074,65.8031620
50.3937742,-1.7355263
24.0459290,18.4446997
254.6970661,37.2950475
46.2911801,34.7567303
99.3213176,51.5463372
254.5315833,24.8532946
344.7283186,31.2398866
53.0886312,37.0209300
256.2629334,29.6293224
343.1018798,66.8299959
196.7445773,43.4290683
64.5351278,56.5434922
289.0944302,5.0190188
161.3819019,51.3224327
325.4006861,10.5730390
335.4372174,29.0241166
271.6061131,32.6122139
106.6053253,35.4231683
262.6318970,37.3825153
48.9721648,57.5737728
50.2232872,-3.4125978
356.5717618,72.3683621
40.7610949,20.9797102
358.5017841,71.4099165
109.8665148,37.5496377
356.5036546,-12.6769072
263.0798448,42.8389989
279.1732663,5.6798558
326.0846425,70.5952604
268.9213227,34.8365065
254.6416367,3.9581514
264.2981670,33.1397214
260.8590662,58.5449116
247.9872506,32.9672386
261.6801262,32.0387446
264.8339511,34.2614536
209.0820684,42.8601217
330.0590816,23.0833956
90.4460619,15.3196515
38.3803131,-15.0043839
328.8428579,68.9136189
344.4288044,1.3597658
324.0135892,69.3655046
44.5775492,37.2486615
23.4025579,8.1088646
91.6704031,21.5661016
52.7085322,43.4530029
52.0265494,36.2425576
245.7688970,40.9650594
