ra,dec
6.6972,39.7288
275.1411,25.8975
265.0333,46.1262
44.5261,8.2823
202.9136,1.5778
258.7869,-19.3287
297.1027,-6.1235
299.8918,42.2229
2.1362,-1.3614
191.1991,-2.0239
282.4362,21.3963
33.8971,8.2533
290.2702,28.3179
330.1756,18.2450
238.4761,14.3448
294.3752,10.8233
140.2169,29.8618
260.9076,17.3743
227.0172,19.9154
343.5809,15.7559
313.3120,2.1652
107.0656,19.8276
246.9389,41.6731
264.7615,8.1273
272.8852,4.3133
3.6658,44.7615
259.6061,77.5957
247.4274,17.4696
144.2322,-27.2971
201.7502,-0.9157
355.0173,12.6335
344.9450,11.1558
279.4997,29.5152
234.4930,13.1586
12.4202,-17.9360
224.9373,47.0693
205.4918,28.3662
189.1692,12.3411
140.0693,17.5282
136.0478,-5.2486
297.6617,40.9226
239.9427,1.0440
153.2488,-7.6505
45.3215,10.5618
342.4765,-22.6354
144.8815,41.4392
327.8358,-3.8525
0.0990,36.3283
271.3058,1.3096
284.5697,31.2490
347.9852,-11.3169
290.8039,27.9467
247.3798,18.4955
134.2435,-4.3487
310.8780,17.1872
98.3473,34.3550
2.1380,-17.6860
149.4252,-8.4441
189.0454,4.9512
223.8956,-20.2835
227.2722,-11.4610
11.3808,37.4950
283.0494,29.3524
294.2435,-17.6601
287.2464,24.7713
263.0360,27.1874
315.1415,10.6395
301.5676,-6.2720
317.9104,23.3196
2.2453,-15.2805
5.2808,22.8316
21.2562,-9.3134
301.4226,58.0469
315.6813,15.2190
298.6058,17.3279
227.0721,3.0619
206.0271,0.1938
183.8275,14.4614
171.8987,26.6034
339.3016,5.9743
280.1734,30.9392
273.1738,75.6190
134.8732,18.3707
239.1320,14.0647
150.3709,0.1833
41.4213,-19.1045
302.3398,15.8138
87.2335,41.9438
229.2072,2.8119
312.5179,-8.4091
176.4899,25.7268
39.9926,33.0617
344.2298,-24.8992
296.8557,1.2522
178.5740,15.9890
172.8428,24.7346
210.7209,8.0693
186.2641,6.5419
104.8267,22.8503
15.9448,-16.1852
